Indonesia,Simalungun
sejenis rempah,juragi
sejenis rotan,malnou
sejenis rumput,angkihi
sejenis rumput,ansiansi
sejenis rumput,siboruduma
sejenis rumput,situnjuk
sejenis rumput menjalar,tarahuak
sejenis rumput tali yang buahnya ber- warna merah sebesar merica,panduja
sejenis rumput tali yang selalu,dalan
sejenis rumput yang,hisik
sejenis rumput yang,poga
sejenis rumput yang bisa dijadikan sayuran,poga
"sejenis rumput yang daunnya dapat dibuat lalapan, rasanya agak pahit",situnjuk
sejenis rumput yang menjalar,taruhuah
sejenis rumput yang miangnya dapat menyebabkan gatal,hisik
sejenis rumput yang tumbuh di batu baneipora [banipOra] n sejenis,baneibatu
"sejenis rumput, daun dan akarnya direndam untuk obat panas",sibaguri
sejenis semak,ratus
sejenis semak yang jikalau kering bunganya ber- warna putih dan daunnya dapat terbang jika dihembus angin,ratus
sejenis semut,lamajang
sejenis serangga penyengat,andodot
sejenis tempat cuci tangan yang ter- buat dari bambu,ramboan
sejenis tepung,batarsiang
sejenis tum,sisorlei
sejenis tum- buhan bertali yang daunnya dibuat untuk bahan campuran memasak ikan atau udang,sisorlei
sejenis tum- buhan yang tumbuh di atas kayu,hapias
sejenis tumbuh,paduya
sejenis tumbuh tumbuhan tali buahnya berwarna merah sebesar lada,paduya
sejenis tumbuhan,andalotung
sejenis tumbuhan,angkirbung
sejenis tumbuhan,antik
sejenis tumbuhan,bandir
sejenis tumbuhan,biruh
sejenis tumbuhan,bunbun
sejenis tumbuhan,bunglei
sejenis tumbuhan,dang
sejenis tumbuhan,duma
sejenis tumbuhan,gumba
sejenis tumbuhan,hunal
sejenis tumbuhan berdau lebar,biruh
sejenis tumbuhan berdaun lebar,rajapinayungan
sejenis tumbuhan berdaun sirip majemuk dan daunnya sebagai obat kurap,galinggang
sejenis tumbuhan hutan yang dapat di jadikan ulam,gumba
sejenis tumbuhan pakis,bandir
sejenis tumbuhan untuk membuat atap,banban
sejenis tumbuhan untuk mewarnai mensiang,dang
sejenis tumbuhan yang dapat dimakan,duma
sejenis tumbuhan yang harum baunya,dilam
sejenis tumbuhan yang tumbuh di atas,hapias
sejenis ubi,antirha
sejenis ulat,ambirang
sejenis ulat,hatiboran
sejenis ulat,huridap
sejenis ulat kecil,bongei
sejenis ulat yang kecil,bongei
sejenis umbi,hondali
"sejenis umbi yang mempunyai pokok seperti bengkuang tetapi berduri, biasa tumbuh di hutan",hondali
sejenis unggas,layam
sejenis unggas kecil,layam
sekalian,sagala
sekalung,sasinokok
sekarang,nuan
sekarang,sonari
sekelompok orang yang meng- urus dan memimpin per- kumpulan (partai dan sebagai- nya),maujana
sekepal,sanghopol
sekerat,sanghorot
sekerat,sanghorot 
sekiranya,pori
sekiranya,sahira
sekolah,sikolah
sekonyong,julnong
sekonyong- konyong,julnong
sekrup,poilar
sekuat,sagogoh
sekurang,agendo
sekurang- kurangnya,agendo
sekurang- kurangnya,gendo
selalu,dodas
selalu,dorop
selalu,gati
selalu,irik
selalu,mando
selalu,tong
selalu  senantiasa; selamanya;   sering; terus menerus; tidak pernah tidak,gati
selalu mengikuti,irik
selam,honong
selam; ,honong
selama,sadokah
selama,sadokah 
selamat,horas
selangkang; antara dua paha halangulu   [halaGulu]   n   bantal,halangkang
selatan,dangsina
selatan (arah mata angin),dangsina
selendang,salendang
selesai,dob
selesai,losei
selesai,otur
selesai,sahei
selesai,salpu
selesai,siap
selesai,torsa
selidik,odong
selidik,ondong
selimut,gobar
selimut,sabei
selimut,sabing
selimut,salimut
selimut,uhub
selimut atau kain khas,ulos
selimut atau kain khas Batak,ulos
selip,silip
seloroh,gular
semacam,bajaronggi
semacam,hisir
semacam,itom
semacam,kahombu
semacam,landoyung
semacam,mampat
semacam,morbou
semacam,parakpak
semacam,ringgubug
semacam,saringkut
semacam dun seledri,bajaronggi
semacam jurang,hondot
semacam kayu,mampat
semacam kayu,morbou
semacam kayu,rindung
semacam kayu,ringgubug
semacam kayu,saringkut
semacam kayu kalau dicampur dengan kapur sirih merah warnanya,kahombu
semacam kayu keras yang tumbuh di tanah yang keras dan berbunga wangi,parakpak
semacam kayu yang bergetah,rubei
semacam kumbuh,loging
semacam pakaian anak-anak terletak pada leher,horungkorung
semacam rempah,lamuju
semacam semut rayap,hatinongnong
semacam seruling,tulila
semacam seruling (dari bambu),tulila
semacam tali,tumbeng
semacam tali yang dibuat dari akar tumbuhan,tumbeng
semacam tumbuhan,loha
semacam tumbuhan untuk tali,baruh
semacamsemutrayap,hatinongnong
semai,samei
semak,duru
semak,halong
semak,halput
semak,naporon
semak;  v bersemak,halong
semakin,lambin
semakin,mumbag
semakin besar,mumbag
semakin gemetar,manghitir 
semakin ke ujung,hujub
semakin ke ujung semakin runcing dan layu,hujub
semakin lembut,hunlamlam 
semakin;  kian bertambah,lambin
semak-semak,duru
semalam,saborngin
semangka,mandihei
semangka,mendihei
semarga,pangkou
semarga (me- miliki keturunan yang sama),pangkou
sembah,rogop
sembah,sombah
sembah,sumbah
sembahan,sahala
sembam,sombam
sembam,sumsam
sembarang,ansisi
sembarangan,lasam
sembarangan dalam ucapan dan tindakan,lasam
sembelih,hoyok
sembelih,otos
sembelih,sekoh
sembelih,sigoh
sembelih,tagil
sembilan,siah
sembilu,sambilu
sembuh,huyah
sembuh,malum
sembuhkan,huyahon
sembuhkan,huyahon 
sembunyi,buni
sembunyi,muni
sembunyi,pojon
sembunyi,suni
sembunyi; ,muni
sembunyikan,bunihon 
sembur,sampik
semir,simir
semoga,naenei
sempat,sompat
sempit,hobot
sempit,hopit
sempit,pihik
sempit,pisot
sempit,sompit
sempit,susat
semprong (kaca lampu),semporong
semua,sorba
semua bagi rata,seer
semua ber- gerak (seperti lebah di sarangnya),hulosor
semua bergerak,hulosor
semua jenis burung,hampilis
semua jenis tumbuhan,hampidi
semuanya,payo
semut,porkis
senam,sonam
senang,piah
senang,sonang
senang hati,medan
senang hati; betah; kerasan,medan
senantiasa,tongtong
senapan,bodil
sendiri,sandiri
sendirian,elangelang
sendok,sonduk
sendok (nasi),sonduk
sendok nasi yang,sebok
sendok nasi yang terbuat dari tempurung,sebok
sengaja,tuntun
sengaja,utus
sengat,sorod
sengat (pada lebah atau tawon),sorod
sengau,ngul
senggulung,umpong
senggulung umung [umuG] n ulat dalam air umur [umur] n umur,umpong
sengit,songit
sengon,sengon
sengsara,dagos
sengsara,marsik
sengsara,modar
sengsara,odar
sengsara,paet
senja,samon
senja,samun
senja buta,lotir
senja buta; gelap gulita,lotir
senjata,sinjata
sentak,rota
sentak,sintak
sentak,untor
sentuh,dorab
sentuh,tumbuk
senyum,senggeh
senyum,sirom
seorang diri,juei
sepah,sampah
sepah,sopah
sepak,ampit
sepak,bintih
sepak,sipak
sepak raga rotan,hotang
sepakan,sipakan
sepakan,sipakan 
sepala,sapala
sepala-pala,sapala
sepasang,sapasang 
sepatah kata,baba
sepatu,sipatu
sepeda,lereng
sepelukan (tentang ukuran),sandumahop
seperempat,saparopat
seperempat,saparopat 
seperenam,saparonom
seperenam,saparonom 
seperkara,sapahara
seperti,songon
seperti ; mirip,songon
seperti ini,songonin
seperti itu,naima
seperti itu,songonon
sepetak,sapetak
sepi,dangor
sepotong,holuran
sepotong bambu berbentuk pipa yang ke dalamnya dimasukkan tali pengikat ternak agar ternak tersebut tidak bisa menggigiti tali pengikatnya,holuran
sepuh,sopuh
sepuluh banding satu (,gundal
sepuluh kaleng,nalih
serah,ondas
serah,ondos
serahan,ondosan
serahkan,"ondoskon 
v 
"
serak,tartar
serakkan,saburhon
serakkan abur,saburhon 
seram,perang
seram,sorgi
serambi,surambih
serangga busuk,antinganou
seraup,nangging
seraut,alging
serba kotor,legut
serdam,sordam
serdawa,terab
seret,mosos
sergap,polgap
sergap,tingkup
seri,sori
sering,hotah
sering,masakah
sering,pigo
sering digunakan,ojal
serkah,riga
serong,sayung
seruling,sulim
serupa,upat
serupa,usih
serupa buruk,santun
sesak,mongkap
sesak,pinjot
sesak,ponjot
sesak,sosak
sesak,targok
sesal,bilang
sesal,sosal
sesama,sapih
sesat,hahou
sesat,kahou
sesuap,algup
sesuap,sangkababah 
sesuatu,borkoshon
sesuatu,sabion
sesuatu,sumbahan
sesuatu yang,anggir
sesuatu yang,mahar
sesuatu yang akan dibuat,sibahenon 
sesuatu yang akan diikat,borkoshon
"sesuatu yang dipakai untuk keramas (jeruk purut, bunga-bung dll)",anggir
sesuatu yang ditumbuk sudah dapat ditampi,mahar
sesudah,dung
sesudah itu,sai
setelah,honsi
setempat,sahundulan
setempat duduk,sahundulan
seterusnya,manipat
setiap,ari
setubuh,tetet
sewa,sasih
sewa,tambang
sia,ogor
sial,sial
siam,siam
siamang,imbou
siamang,kiahkiah
siang,arian
siang,siang
siang hari,matas
siap sedia,sirsir
siapa,ise
sibak,sebak
sibak,sitabolan
sibak rambut,sitabolan
sibuk,halut
sibuk,haragatanni
sibuk,hensang
sibuk,hosei
sibuk,humalaput
sibuk; tidak pernah diam,hensang
sifat,doharling
sifat (suatu benda selalu pecah jika dipegang),doharling
sigap,hisar
sikap,gopas
sikap; tabiat,gopas
siksa,arsik
siku,antalis
siku,siku
siku,tuhul
silap,simbei
silau,melap
silsilah,tarombo
silsilah (ten- tang keluarga),tarombo
simpai,langgu
simpai,rompa
simpai,ronggit
simpan,alimi
simpan,olom
simpan,ponop
simpanan,alimian 
simpanan,ponopan 
simpankan,ponopkon 
simpul,pudun
sinar,sinalsal
sinar,sindar
sindir,pantun
sindir,sember
sindir; ,pantun
sindiran,indorop
singgah,singgah
singgah,tului
singkap,singkap
sipi,talbis
siput,langkitang
siput,nansungguh
siput kecil yang hidup di dalam air nantigan  [nantigan]  pron  kapan,nansungguh
siram,pispi
sirat,sorot
sirih,arto
sirih,demban
sirih,puran
sirip,ipis
sisa,halesa
sisa,pangharatan
sisa,rikah
sisa,rimpusu
sisa,sisa
sisa,sulei
sisa,teba
sisa,todei
sisa air hujan,namur
sisa air hujan yang tertinggal di rerumputan pinggir jalan,namur
sisi atau,dompak
sisi atau bidang sebelah depan; ,dompak
sisik,sisik
sisip,solot
sisip,ulbuk
sisip (tentang tanaman),ulbuk
sisir,surui
soda,gusar
sodor,surduk
sodor,tidur
sokong,sohad
sokong,tungkol
sombong,apas
sombong,arsang
sombong,juarih
sombong,lansat
sopan,supan
sopan,tipak
sorak,ihe
sorak,olob
sore,langat
sorot,okang
Sp,mane
Sp,marsahap
Sp amil,malim
Sp embun,sabun
Sp hari,pangoloi
Sp hari sekitar pukul delapan malam,pangoloi
Sp jari,sijumekjek
Sp jatuh,madabuh
Sp kiri,singkaes
Sp lelaki,lalahi
Sp muara sungai,tinada
Sp pagar,handang
Sp pagi buta,langat
Sp pantat,ihur
Spp cekatan,tirgas
Spp fajar,sindar
Sr,mataniari
Sr,parsontingan
Sr barat,pastima
Sr berburu,mardapot
Sr berburu mardum [mardum] v makan beras,mardapot
Sr harum,marium
Sr kejang urat,paninggoyongon
Sr matahari,pangului
Sr matahari sepenggalan,pangului
Sr mengasuh,marorot
Sr pecal,posal
Sr takut,mabiyar
Sr takut (pada benturan,mabiyar
suami,amang 
suami,namangalop
suap,sisip
suap,sulang
suara,alal
suara,aloling
suara,gibig
suara,sora
suara  lompatan binatang di hutan atau semak- semak,jus
suara agak tinggi,reng
suara air yang dituang,gedek
suara anak korek api dinyalakan,jer
suara bambu,dotong
suara bambu kosong yang dijinjing,dotong
suara bedil,baig
suara bedil,dutub
suara benda jatuh,bar
suara benda masuk air,jur
suara benda yang,dopuk
suara benda yang,labas
suara benda yang,par
suara benda yang jatuh lembut; tidak keras,labas
suara benda yang meletus,par
suara benda yang pecah,dopuk
suara binatang yang,paus
suara binatang yang melompat dengan tiba-tiba dan terburu-buru,paus
suara burung,kakak
suara burung (suara orang yang ketawa kuat- kuat),kakak
suara cangkul,job
suara dencing,deteng
suara desing,deseng
suara gedebug,libig
suara gedebug;  gedebug,libig
suara gemuruh,gorob
suara gemuruh; ,gorob
suara jatuh ke dalam sungai,bur
suara jatuh ke sungai,bur
suara kayu yang,dotur
suara kayu yang tumbang,dotur
suara kilat,jep
suara lembu,umboh
suara letusan,purpar
suara letusan bambu,purpar
suara lompatan,bais
suara melangkah,ngais
suara melangkah atau melompat (yang terdengar tiba-tiba),ngais
suara menyayat sesuatu,ses
suara orang muntah,oak
suara orang muntah,ojak
suara petir,bair
suara pukulan,big
suara sesuatu yang ditarik tiba-tiba,jis
suara tembakan,lasak
suara untuk,hurha
suara untuk memanggil ayam,hurha
suara yang,depang
suara yang,landur
suara yang,rumbung
suara yang besar,rumbung
suara yang dibuat-buat,depang
suara yang ditarik dengan tiba-tiba,jis
suara yang mengejutkan,sis
suara yang merdu,landur
suasa,suasah
suatu tiruan bunyi,bop
subur,gabug
subur,gobug
sudah,bakarasan
sudah,domma
sudah,dop
sudah,ima
sudah buruk,musang
sudah dapat dipanen parik,tarpariama 
sudah diberi berean,tarbere 
sudah jauh,limpot
sudah mati,hanjal
sudah tersiram,mabur
sudah tua,bakarasan
sudahlah,ehe
sudut,suhi
suka,bibir
suka,oji
suka,rosuh
suka,sir
suka atau gemar menyanyi,madoding 
suka bergosip,dilahhon 
suka memandang rendah pada orang lain,mapas
suka mengambil,himut
suka mengambil,humit
suka mengambil barang orang,humit
suka naik,gagah
suku  batak,batak
suku batak,batak
sulah,lepong
sulah; botak; gundul,lepong
sulit,payah
suluh,pondang
suluh,rigap
suluh; pelita,pondang
sulung,kahan
sumbang,rubing
sumbat,sumpol
sumbing,dungil
sumbing,ramping
sumbing,ropang
sumbing,rubing
sumpah,bija
sumpah,bura
sumpit,haronduk
sumpit,ultop
sumpit kecil yang terbuat dari perut bambu,haronduk
sunat,sopit
sunat,sunat
sungai,bah
sungai,binanga
suntik,sasar
suntik,turgis
suntil,suntil
suntuk,sundol
sunyi,lawang
sunyi,lungun
sunyi; lengang; sepi,lawang
supaya,ase
surat,ayat
surat,surat
surat kaleng,pulas
surat; ayat,ayat
suratan tangan,rotak ni tangan 
suruh,suruh
suruk,suruk
surut,undur
susah,gaduh
susah,galut
susah,habut
susah,hajap
susah,haru
susah,ngalut
susah bergerak,randung
susah bergerak (karena kebanyakan beban),randung
susu,adop
susu,dadih
susun dengan me- nimpa,lopik
susun dengan menimpa,lopik
susut,rojog
syabas,sabas
syarat,sarat
syukuran,saru
syukuran (pesta syukur),saru
tabiat,baha
tabiat,biak
tabung,tagan
tabung bambu,tunggom
tabung bambu tempat tuak atau nira,tunggom
tabur,erab
tabur,sampak
tabur,tirtir
tadah,tedek
tadi,nongkan
tagih,tagih
tagih,tunggu
tahan,taban
tahan,tahan
tahan,tehan
tahan,togong
tahan diri,orom
tahan diri; tahan selera,orom
tahan napas,untong
tahbis,samoja
tahi,tois
tahi anak bayi,angir
tahi lalat,landong
tahi lalat,landung
tahi lalat; bintil hitam pd kulit; noda hitam pd kulit,landong
tahi mata,bilas
tahi mata,poyok
tahu,botoh
tahun,taun
tajak,tajak
tajam,bil
tajam,dejeb
tajam,insur
tajam,limar
tajam,marot
taji,tadi
tak enak,maharsa
tak enak makan; tak enak rasa lidah,maharsa
tak kena,leset
tak kena; tak tepat,leset
tak mendapat,liah
tak sama disayangi ligah [ligah] v pecah,ligah
tak tentu per,maor
tak tentu per- jalanannya,maor
takabur,pasul
takar,hunsa
takar,suhat
takaran,suhatan
takaran beras,supak
"takaran beras yang terbuat dari tempurung kelapa yang isinya sekitar , liter",supak
taksir; menaksir,monggor
takut,bajoraon
takut,borin
takut,gabar
takut,habiar
takut,mabiar
takut,mora
takut; ngeri baju [baju] n baju,bajoraon
talas,suhat
talenan,sangkalan
tali,hulangkulang
tali,tali
tali dari tumbuhan,andor
tali penjahit tangan,horui
tali penjahit tangan diambil dari kulit batang se- jenis pohon,horui
tali penyangga,ila
tali perian,tapangan
tali rotan,ropou
tali rotan yang dicocang,ropou
tali yang dipasang di leher kambing sebagai tempat pengikat tali,hulangkulang
tambah,tambah
tambah,ulbei
tambah dua,ambah
tambal,tambal
tambalan,tambalan
tambat,arih
tambatan,arihan
tambuh,igil
tambuh; tambah,igil
tampah,andori
tampah,anduri
tampah,harunduk
tampak,"ulgap 
"
tampaknya,bareibe
tampan,lais
tampan,sagad
tampan; ganteng,lais
tampang,busir
tampar,bapbap
tampar,dopar
tampar,paik
tampar,tampar
tampar,topar
tampi,ersek
tampi,laha
tampi,seksek
tampi;  menampi,laha
tampung,tanggo
tampung (menampung air  dimasukkan ke dalam ansubah),ansuh
tanah,tanoh
tanah galian,tambur
tanah liat,liat
tanah rata,habungan
tanah rata di,songgak
tanah rata di atas bukit,songgak
tanah yang,lambut
tanah yang,pamah
tanah yang  datar dan rendah,pamah
tanah yang subur,lambut
tanak,tasak
tanam,onah
tanam,suan
tanam,suanon
tanam,tanom
tanam,tidah
tanaman,suanon
tanda,alamat
tanda,alat
tanda,puh
tanda,rajah
tanda,sap
tanda,sinata
tanda,tanda
tanda tangan,saing
tandang,tandang
tandanya,alatan
tandanya,paboa
tandu,randei
tanduk,tanduk
tanduk rusa,ranggou
tandukan,tandukon
tangan,botokon
tangan,tangan
tangan kiri,haduhat
tangan pohon,mayang
tangan pohon margat,mayang
tangan yang,penggur
tangan yang bengkok,penggur
tangga,andar
tangga,baltuk
tangga,pating
tangga,tangga
tangga (terbuat dari bambu atau kayu),pating
tangga bambu,sigei
tanggal,hurung
tanggal ,hurung
tanggok,hodo
tangguk,sosap
tangguk (empat segi),sosap
tanggung,abul
tanggung,alang
tanggung,mangkar
tanggung,marlang
tanggung,tanggung
tanggung (karena belum biasa mengerjakannya),alang
tanggung- tanggung (warna yang tang- gung),marlang
tangis,dangak
tangis,dokik
tangis,dorak
tangis,paok
tangis,piah
tangis,tangis
tangisan,dorakon 
tangisan,piak
tangkai,butarbutar
tangkai,tampuk
tangkai padi,landur
tangkai padi,runsi
tangkai padi yang berisi penuh biji padi,landur
tangkal,tangkal
tangkap,rapus
tangkap,tangkap
tangkas,ligat
tangkis,anjei
tanjung,anjuk
tanya,"marsisungkunan 
"
tanya,sungkun
tapa,tapa
tapai,tapei
tapak,tapak
tapisan,samir
tari,sombah
tari,tortor
tarik,aik
tarik,dogdog
tarik,dokdok
tarik,gejes
tarik,geret
tarik,gojos
tarik,guyun
tarik,jata
tarik,rodong
tarik,sarad
tarik,tarik
tarikan,geretan 
tarikkan,guyunhon 
taruh,nahkon
taruh,nangkon
taruhan,sagar
tarum,tajom
tatah,latap
tatah,tatah
tatang,tatang
tatap muka,dumpar
tawa,tawa
tawanan,ayoban
tawar,hambar
tawar,hawar
tawar,rambus
tawas,tawas
Tb ikan,dengke
Tb keras,jogal
Tb tegak,tindang
Tb tuak,tuak
tebal,dampel
tebal,hapal
tebal,talbang
tebal,tobal
tebal (tentang sayatan),talbang
tebal muka,madal
tebang,roboh
tebas,imas
tebas,tobas
tebing,salahsah
tebu,tatabu
tebu,tobu
tebus,tobus
teduh,lindung
teduh,linggom
"teduh; marlindung		v	berteduh; bernaung",lindung
tegak,anturgok
tegak,dirgak
tegak,gaok
tegak,gastong
tegak,jogor
tegak,tindang
tegak gatap [gatap] n daun sirih gatar [gattar] n perisai gatgat [gatgat] ,gastong
tegakkan,"padirgak 
"
tegang,mocor
tegang,rontong
tegap,bahod
tegap,jerbeg
tegap,regeng
tegap,togap
tegap; gagah,jerbeg
teguh,matih
teguh,retel
teguh,toguh
teguh; kuat,matih
teguk,dorgak
teguk; ,dorgak
tegur,sapa
tegur,sisei
teh,teh
teja,kuning
teka,hutinta
tekan,dondang
tekan,dondon
tekan,odot
teka-teki,hutinta
tekun,angin
tekun dan cermat,etem
telah,hiskis
telan,albug
telan,bondut
telan,bulur
telan,tolon
telanjang,salang
telanjang,talanjang
telanjur,lanjur
telanjur,lansung
telapak,jampal
telapak (kaki dan tangan),jampal
telapak kaki,goyong
telapak tangan,mandal
telapak tangan atau telapak kaki yang tebal mandihar[mandihar] n Sr pencak,mandal
teleng,lengleng
telinga,pinggol
telinga,tuhil
telinga yang ber,pigul
telinga yang ber- kerut karena penyakit,pigul
telor,hapor
telur,pira
telur,tinaru
telur,tolur
telur kutu,lisa
telur yang,bajukan
telur yang tidak bisa menjadi anak (busuk),bajukan
tem,lajablajab
tem- purung,lajablajab
teman,hasoman
tembaga,tombaga
tembak,tembak
tembakau,bakal
tembakau,timbahou
tembakau isapan,tekeh
tembilang,suduk
tembilang,suluk
tembilang kayu,assuan
tembilang kayu (alat untuk menggali lubang bertangkai panjang),assuan
tembok,tembok
tembolok,bauk
tembolok,tamporung
tembolok tampua [tappua] n tempua tampuk [tappuk] n tangkai,tamporung
tembus,ransang
tembus,ronsang
tempah,topa
tempat,abalabal
tempat,boradang
tempat,habinsaran
tempat,hadudukan
tempat,harumbung
tempat,hundulan
tempat,inganan
tempat,iyanan 
tempat,langgatan
tempat,longadei
tempat,mangkuk
tempat,pandadangan
tempat,panganan
tempat,panlahatan
tempat,pantangan
tempat,parabingan
tempat,parbaliangan
tempat,parbeguan
tempat,parhireian
tempat,parjagalan
tempat,parjomukan
tempat,parkodean
tempat,parlintunan
tempat,parlompahon
tempat,parmodoman
tempat,podoman
tempat,sidogetan
tempat,tambahur
tempat,tanggungan
tempat,tidahan
tempat,tumpanan
tempat  memaku dinding atau atap seng,jangka
tempat air,ansubah
tempat air,baluhat
tempat air,salung
tempat air terbuat dari bambu,baluhat
tempat air terbuat dari satu ruas bambu,salung
tempat air yang terbuat dari bambu dua ruas,ansubah
tempat air yg,garigit
"tempat air yg terbuat dr satu ruas bambu, memakai sumbat, dadiberi tali",garigit
tempat ayam,gargar
tempat ayam bertelur,gargar
tempat babi,lansang
tempat babi hutan tidur-tiduran,lansang
"tempat batang-barang di atas tungku boras	[bOras]	",boradang
tempat ber- musyawarah,lopou
tempat beras yang terbuat dari satu ruas bambu yang besar,parborasan 
tempat berdiri,"parjongjongan 
"
tempat bermusyawarah,lopou
tempat berpijak,sidogetan
tempat berteduh untuk sementara,lampolampo
tempat duduk,hundulan 
tempat garam yang terbuat dari bambu,abalabal
tempat ikan,pongkal
tempat makan dari bambu,tambahur
tempat makanan babi,tanggungan
tempat makannya,panganan
tempat mandi,paridian 
tempat memaku seng,jangka
tempat menari,panortoran 
tempat menjemur,galah
tempat menjemur jagung yang belum dikupas,galah
tempat menyim- pan lemang,rinsan
tempat menyimpan lemang,rinsan
tempat minuman dari porselen,mangkuk
tempat nasi,parindahan 
tempat nasi di atas pahar atau nampan,tumpanan
tempat paling atas,sondi
tempat paling atas sondia [sOddia] pron bagaimana sondihi   [sOddihi]   n   jeroan,sondi
tempat pancuran,palung
tempat pancuran air hujan,palung
tempat penyimpanan ikan yg digantung dengan tali dan dapat naik turun,gayang
tempat perangkap,labei
tempat perangkap dipasang,labei
tempat perkakas yang terbuat dari bambu,harumbung
tempat sayur,humar
"tempat sayur untuk dibawa ke ladang, terbuat dari sepotong bambu (di atas nya memakai tutup dari ruas- nya yang dipotong)",humar
tempat sirih,bajut
tempat sirih,gujam
tempat terbit (matahari),poltak
tempat tuak,hitang
tempat tuak dari,dotung
tempat tuak dari bambu,dotung
tempat tuak sebagai pengganti gelas,hitang
tempat tungku,tataring
tempat untuk menjemur tembakau,longadei
tempat yang disakralkan,langgatan
tempias,sulig
tempua,tampua
tempurung,layaplayap
temu,domu
temu,jumpah
temu,tomu
tenaga,horak
tenaga,horok
tenang,inop
tenang,tonang
tenang; diam,inop
tengadah,dorgak
tengah,tongah
tenggelam,lonong
tenggelam,mogap
tenggelam,munah
tenggelam,tinop
tenggelam,unob
tenggiling,tanggiling
tenggiling tanggiripan [taggiripan] n penyu tanggo [taggo] v tampung,tanggiling
tenggorokan,oldog
tengik,sahal
tengkar,bada
tengkar,pungpang
tengkar,simbat
tengkar,tungkang
tengkar,tungking
tengkar b,bada 
tengkorak,gabag
tengkuk,tangkuhuk
tengok,palging
tengok; lihat,palging
tenun,tonun
tenung,atiha
tepak,tepak
tepas,topas
tepat,sangkan
tepat,suhun
tepat,topat
tepat,tudu
tepat pada,adar
tepat pada waktunya,adar
tepek,tepek
tepi,ampis
tepi,biding
tepi,topi
tepuk,topap
tepung,topung
teraba,tardadap 
terabaikan,tartioshon
terabaikan,tartioshon 
teradakan,taradonghon
terairi,tarbahi
terairi,tarbahi 
terambai,maol
terambai-ambai,maol
terang,lihar
terang,pae
terang,pator
terang,rondang
terang,talar
terang,torang
terang,totor
terang peman,larlar
terang peman,lihur
terang peman- dangan,larlar
terang peman- dangan,lihur
terang pemandangan,lantar
terang peng,panei
terang peng- lihatan; jelas,panei
"terang, cerah",lihar
terang; jelas,pae
terang; jelas,pator
terangkat,mungkut
terangkat,tarangkat
terangkat,tarangkat 
terantar,"antar 
tartaruhkon "
terantar,tartaruhkon
terantuk,habandulan
terantuk,sundol
terapung,mumbang
terapung,umbang
terarah,tiling
teras,buragan
teras,emper
teras,paham
teratur,taratur 
terayun,awal
terayun,maltang
terayun-ayun benda besar,maltang
terbakar,mosog
terbakar,tartutung
terbakar,tartutung 
terbakar: dopma gojog rumah sopouni si Musa rumah si Musa sudah terbakar,gojog
terbalas,tarbalas
terbalas,tarbalas 
terbalik,suhar
terbalik,tarbalik
terbalik,tarbalik 
terban,jobjob
terban jadi,lonsoh
terban jadi jurang,lonsoh
terban; rusak binasa,jobjob
terbang,habang
terbang,habur
terbang,hiab
terbang,hiap
terbang,mayap
terbang,telep
terbang melayang,"habang 
"
terbaring,lepe
terbaring,lujub
terbasahi,tartaptapi
terbasahi,tartaptapi 
terbelah,mompak
terbelah,tartaha
terbelah,tartaha 
terbelalak: jirlak matani matanya terbelalak,jirlak
terbeli,tarboli
terbeli,tarboli 
terbeliak,tarbondil 
terbenam,sundut
terbendung,tarbombong
terbendung,tarbombong 
terbengkalai,langkor
terberita,luhur
terbesar,junggu
terbit,binsar
terbit,mapoltak 
terbit,poltak
terbongkar,tarsungkei
terbongkar,tarsungkei 
terbuang,tarbuang
terbuang buar,tarbuang 
terbuat,tarbahen 
terbujuk,tarelek
terbujuk,tarelek 
terbuka,biha
terbuka,habkab
terbuka,muget
terbuka,mungkap
terbuka,talag
terbuka,tanggak
terbuka,tarbuha
terbuka,tarbuha 
terbuka,tarsingkap
terbuka,tarsingkap 
terbuka,tarungkap
terbuka,tarungkap 
terbungkus,tarbalut
terbungkus,tarbalut 
terbunuh,tarbunuh
terbunuh bulugarung,tarbunuh 
terburai,ambik 
tercabik,maribak 
tercabut,mumpat
tercabut,tardokdok
tercabut,tarorbat
tercabut,tarorbat 
tercabut,tartompu
tercabut,tartompu 
tercabut,tarumpat
tercabut,tarumpat 
tercabut dokik,tardokdok 
tercabut gagang,mansil
tercabut gagang (misalnya gagang parang),mansil
tercampak,hayap
tercampak,mistak
tercampur,tarsampur
tercampur,tarsampur 
tercampur,tarsotek
tercampur,tarsotek 
tercampur,tartombur
tercampur,tartombur 
tercangkul,tarpangkur
tercangkul,tarpangkur 
tercangkul,tarsangkul
tercangkul sangkup,tarsangkul 
tercari,tartorih 
tercekik,tarpongkik
tercekik,tarpongkik 
tercekik,tarsongkik
tercekik,tarsongkik 
tercekik karena tulang ikan,mongkik
tercelup,tarsolup
tercelup,tarsolup 
tercelupkan,tarsosobhon
tercelupkan,tarsosobhon 
tercetak,tarrokam 
tercincang,tartaktak
tercincang taktak,tartaktak 
tercium,tarsanggoh
tercium,tarummah
tercium sandiri,tarsanggoh 
tercubit,targotik
tercubit gotil,"saling cubit  
targotik "
tercucuk,pantik
tercungkil,tarungkil
tercungkil,tarungkil 
terdapat,tardapot
terdapat,tardapot 
terdiam,tardunam 
terdinding,tardingding
terdinding,tardingding 
terdiri dari,sorba
terdirikan,tarpajongjong
terdirikan,tarpajongjong 
terdorong,"dorong 
taronjar "
