Definition,Lemma,Pronunciation,Part of Speech,Sentence Examples and Related Forms
burung merbuk,sibahuei,sibahuwey,Noun,
ikan lele,sibahut,sibahut,Noun,bahat dapot sidea sibahut mereka dapat banyak ikan lele
asam durian (buah durian masak yang diasamkan),sibak,sibak,Noun,topong sibak ai hu bagas buluh on! masukkan asam durian itu ke dalam bambu ini!
"sejenis bunga, dapat dibuat ramuan obat-obatan",sibalingse,sibaliGsE,Noun,
ukuran,sibar,sibar,Noun,sampai; batas
nasib,sibaran,sibaran,Noun,per- untungan: sononma sibaranni angkula beginilah nasib badan
jenis keladi yang warnanya hitam dan rasa umbinya enak bila di- rebus,sibarangan,sibaraGan,Noun,
"nama sejenis ikan sungai, badannya besar, mulutnya lebar, dan ada garis pinggangnya, serta mau me- nangkap dan memakan ikan kecil",sibarou,sibarow,Noun,
dukun,sibasoh,sibasOh,Noun,dong do i huta on sibasoh? adakah di kampung ini dukun?
sebutan orang Simalungun kepada raja-raja dari tanah Karo,sibayak,sibayak,Noun,raja Karo
sejenis kayu (menurut kepercayaan zaman dahulu kayu sibetu ini dibuat hambatan di bendungan agar jangan dilanggar naga),sibetu,sibEtu,Noun,
sejenis burung,sibigou,sibigow,Noun,kepodang: sibigou itembak bapak natuari burung sibigou ditembak bapak kemarin
hitam,sibirong,sibirOG,Noun,
cumi-cumi,sibit,sibit,Noun,
sejenis rumput,siboruduma,sibOruduma,Noun,siboruduma ipangan babui rumput siboruduma dimakan babi
hilang,sibou,sibOw,Adjective,tidak tampak lagi: dopma sibou lomoman ni inang ondi sudah tidak tampak lagi kuburan ibu dulu
"sejenis kayu kecil, biasanya tumbuh di tanah keras",sibunbun,sibubbun,Noun,
minum (binatang),sibur,sibur,Noun,bere lobei sibur lombu ai! beri dulu minum lembu itu!; manibur v minum (binatang): manibur lombu ai i bongbongan lembu itu minum di bendungan
"sejenis pohon yang keras, tetapi tidak begitu besar batangnya dan bagus untuk gagang pisau",siburnei,siburney,Noun,
"sejenis burung pemakan serangga dan terbang- nya tidak jauh, selalu dicari tabib untuk diambil minyaknya menjadi obat terkilir atau patah tulang",siburuk,siburuk,Noun,
nasi,sidabuhan,sidabuhan,Noun,makanan: rajinma hita marhorja ase ulang  holi hurang sidabuhan! rajin-rajin- lah kita bekerja agar nanti jangan kurang nasi (makanan)
bagian dari marga Purba,Sidadolog,sidadolOg,Noun,
pura-pura,sidalan,sidalan,Verb,
perantara,sidalan,sidalan,Noun,ise do naboron sidalan niar sahap hu ibana? siapa dulu perantara- mu untuk bicara dengannya?
alasan,sidalian,sidaliyan,Noun,marsidalian v saling menolak tanggung jawab (dengan mem- buat alasan-alasan)
nama daerah di Simalungun,Sidamanik,sidamanik,Noun,
salah satu marga Simalungun,Sidamanik,sidamanik,Noun,
mereka,sidea,sidEa,Pronoun,andigan do sidea roh? kapan mereka datang?
jerat,siding,sidiG,Noun,bahen holi siding i tongah juma ai! buat nanti jerat di tengah ladang  itu!
tempat berpijak,sidogetan,sidogEtan,Noun,pijakan: buat kursi ai sidogetan ambil kursi itu untuk tempat berpijak
salah satu alat untuk bertenun,sidok,sidOk,Noun,onga do ho mangidah sidok? pernahkah kau melihat salah satu alat untuk bertenun?
sejenis kayu,sidorik,sidorik,Noun,bahat i juma nami hayu sidorik banyak kayu sidorik di ladang kami
musang,sidungari,siduGari,Noun,sidungari marlintun i topi lombang musang berlari di tepi tebing
cekatan,sigap,sigap,Adjective,
tangga bambu,sigei,sigey,Noun,sigei ibahen humbani buluh tangga dibuat dari bambu
cara memakai kain yang kurang sopan sehingga tampak bagian paha,sigi,sigi,Noun,sigi pamakeini kain sarung ai kurang sopan memakai kain sarung itu
mudah tersinggung,sigi,sigi,Adjective,
sembelih,sigoh,sigOh,Verb,sayat; isigoh v disembelih: tangkap dayok ai ase isigoh! tangkap ayam itu biar disembelih!; manigoh v menyembelih
air buah jeruk,sigor,sigOr,Noun,"pisat untei in, ase hudarat sigor ni! pencet jeruk itu supaya keluar airnya"
kuning,sigorsing,sigOrsiG,Noun,buat baju sigorsing ai! ambil baju kuning itu!
kain buruk,sigundal,siguddal,Noun,ai mase ragei-ragei ibahen ho sigundal in? mengapa di situ kau letakkan kain buruk itu?
tumbuhan asam,sihala,sihala,Noun,boanma holi sihala ondi hu huta! bawalah asam itu ke kampung nanti!
nama sejenis rumput,sihampir,sihappir,Noun,boan holi sihampir ai ibahen tambar ipon!  bawa nanti sihampir itu untuk obat gigi
cepat,sihap,sihap,Adjective,sihap do ia roh cepat juga ia datang; pasihaphon v mencepatkan
perekat gagang parang atau pisau,sihat,sihat,Noun,sihat dong do ijual i tiga perekat parang ada dijual di pasar
nama sejenis rumput,sihiap,sihiyap,Noun,
nama sejenis rumput air,sihid,sihid,Noun,
nyaring (menggelikan telinga),sihil,sihil,Adjective,"ulang ikiskisi ho buluh in sihil pinggol! jangan kau gesek-gesek bambu itu, geli rasanya telinga!"
nama sejenis tebu,sihilang,sihilaG,Noun,sihilang ijual inang hu tiga tebu dijual ibu ke pekan
gergaji,sihit,sihit,Noun,buat bangku sihit! ambilkan saya gergaji!; manihit v menggergaji; manihiti		v	berulang-ulang menggergaji:		tuhang		ai manihiti	hayu			tukang	itu menggergaji banyak kayu
coklat,sihonda,sihOdda,Noun,
benar,sihong,sihOG,Adjective,
nama sejenis rumput yang daunnya dapat di- jadikan obat,sihorhor,sihOrhOr,Noun,
penanda vokal o pada aksara Batak,sihorlu,sihOrlu,Noun,
rotan,sihotang,sihOtaG,Noun,i harangan toras buei do ijumpah sagala masam sihotang di hutan belukar banyak dijumpai jenis rotan
jari manis,sijumekjek,sijumEkjEk,,
retak,sikah,sikah,Adjective,domma sikah huidah pinggan silopak ai sudah retak kulihat piring putih itu
kiri,sikaos,sikaOs,Noun,
sekolah,sikolah,sikolah,Noun,marsikolah v bersekolah: au marsikolah i SD nagori saya bersekolah di SD negeri parsikolahon v persekolahan; pasikolahkon v menyekolah- kan
mati,sikou,sikOw,Adjective,ripas ganup songkeh ai sikou halani juma ai isurbui halak habis semua cengkih itu mati karena ladang- nya dibakar orang yang tidak dikenal
siku,siku,siku,Noun,
abu-abu,silabu,silabu,Adjective,dayokni lang piga silabu ayamnya tidak banyak yang abu-abu
mengelak,silah,silah,Verb,jolma na malo mandihar biasani malo silah sorangan lawanni orang yang pandai bermain pencak silat biasanya pandai meng- elakkan serangan lawannya
nama sejenis dedaunan,silamlambau,silamlambaw,Noun,silamlambau ai ma samasam bulung-bulung na sambor tumang bauni daun silam- lambau adalah sejenis daun- daunan yang baunya tidak mengenakkan
"nama sejenis pohon yang tidak besar, daunnya berwarna merah dan dapat dijadikan obat",silanton,silattOn,Noun,
nama sejenis kayu,silastom,silastOm,Noun,
selip,silip,silip,Verb,
retak,siltag,siltag,Adjective,golas ai siltag hona bah milas gelas itu retak terkena air panas; mangkasiltag v beretakan
nama sejenis rumput yang daunnya selalu dibuat untuk obat,simargalunggung,simargalugguG,Noun,
"nama sejenis pohon berduri, dahan dan rantingnya jarang, dan buahnya kecil-kecil di- makan burung",simarpaman,simarpaman,Noun,
nama sejenis kayu besar dan dibuat jadi kayu bangunan,simartolu,simartolu,Noun,
"nama sejenis pohon kayu, batangnya bagus dibuat tiang karena tahan dalam tanah",simarumbalang,simarubbalaG,Noun,
mertua,simatua,simatuwa,Noun,
batas,simbalog,sibbalOg,Noun,yang berbatasan dengan tanah atau ladang kita
tengkar,simbat,sibbat,Verb,kelahi; marsimbat		v	bertengkar; berkelahi:	ulang		handian marsimbat i jin! jangan kalian berkelahi di situ!
silap,simbei,sibbey,Adjective,simbei do panonggorhu ai hape da penglihatanku itu rupanya silap
hindar,simbil,sibbil,Verb,
percikan air,simbur,sibbur,Noun,"halani	udan marhaba-haba, sompat simbur das hu bagas jabu karena hujan lebat dan angin kencang, percikan air itu sampai ke dalam rumah; manimbur v memercik"
buru-buru,simbut,sibbut,Adjective,mase min simbut ham? mengapa engkau begitu buru-buru?
ciptaan,siminik,siminik,Noun,jolma siminik ni Tuhan manusia adalah ciptaan Tuhan
semir,simir,simir,Noun,pembersih sepatu
samar-samar,simou,simow,Adjective,kabur: simou do hansa huidah nongkan samar-samar kulihat tadi
terkilir,simpok,sippOk,Verb,tarsimpok v terkilir: tarsimpok baluyuhu lututku terkilir
kuman,simu,simu,Noun,bani kotoran bahat simu kotoran banyak kumannya
sinar,sinalsal,sinalsal,Noun,marsinalsal	v	bersinar: mataniari marsinalsal torang matahari bersinar terang
tanda,sinata,sinata,Noun,ibahen sinata ase lang magou dibuat tanda agar tidak hilang; mansinatai v menandai
sinar,sindar,siddar,Noun,sindar ni lampu ai masilou tumang sinar lampu itu sangat silau
fajar,sindar,siddar,,
"nama se- jenis pohon, getahnya pahit dan baik untuk obat gigi yang sakit",sindulpak,siddulpak,Noun,
ingat,singat,siGat,Verb,"ingatkan: anggo lupa au holi singatma! kalau aku lupa nanti kau ingatkan, ya!"
singgah,singgah,siggah,Verb,ulang singgah ase girah das! jangan singgah agar cepat sampai!; maninggahi v menyinggahi; pasinggahkon v menyinggah- kan
hingga,singgan,siggan,Noun,batas penghabisan
nyaris,singgip,siggip,Adjective,hampir: si Nelli singgip ilanggar motor nattuari i tiga si Nelli nyaris dilanggar motor kemarin di pekan
nama sejenis lumut yang berbentuk tali,singgohgoh,siggOhgOh,Noun,
sedak,singgok,siggOk,Verb,tarsinggok v tersedak: tarsinggok ia halani marhonang dia tersedak karena berenang
cukup,singgom,siggOm,Adjective,paspasan: duit Rp 10.000 singgom bae ongkos do hansa ai uang Rp 10.000 paspasan untuk ongkos saja
waktu,singgorah,siggorah,Noun,saat yang tertentu untuk me- lakukan sesuatu: singgorah mangan waktu makan
nama sejenis pohon kayu yang buahnya selalu dipakai untuk peluru mainan anak-anak,singguboh,siggubOh,Noun,
pipa bambu untuk meniup api di dapur,singgung,sigguG,Noun,
kiri,singkaes,sikkaes,,
salah,singkal,sikkal,Adjective,singkal do ma ibahen ho ai da salah yang kau buat itu
nama sejenis pohon kayu keras yang getah kulitnya merah dan dibuat menjadi kuah masakan ayam,singkam,sikkam,Noun,
singkap,singkap,sikkap,Verb,buka: maningkap	v	membuka: maningkap tingkap membuka jendela
celana dalam,singkot,sikkOt,Noun,cawat: jomur singkotmu na bonsot ai! jemur celana dalam- mu yang basah itu!
senjata,sinjata,sijjata,Noun,
nyenyak,sinog,sinOg,Adjective,sinog modom halani loja hu juma nyenyak tidur karena lelah dari ladang
kalung,sinokok,sinokOk,Noun,halak na mamboli sinokok ai domma misir hu Jakarta orang yang membeli	kalung	itu	sudah berangkat ke Jakarta; marsinokok v saling menga- lungkan
sentak,sintak,sittak,Verb,"tarik: sintakma hail ai, domma dapotan huidah! sentakkan pancing itu, kulihat sudah dapat ikan!"
kain adat Simalungun yang dibuat untuk menutup keranda ketika mem- bawa mayat ke kuburan,sintakan,sittakan,Noun,
hingga,sintig,sittig,Noun,sampai: sintig ija hita mardalan? sampai di mana kita berjalan?
baik,sintong,sittOG,Adjective,benar
panah,sior,siyor,Noun,
diam,sip,sip,Verb,"sip lobei, ulang marsahap! diam dulu, jangan berbicara!"
bulan,sipaha,sipaha,Noun,bani sipaha dua hanami pariama kami panen pada bulan dua
burung hantu,sipahuk,sipahuk,Noun,
sepak,sipak,sipak,Noun,
sepatu,sipatu,sipatu,Noun,sipatu na gerger sepatu yang merah; marsipatu v bersepatu; manipatui v menyepatui
salah satu marga Simalungun,Sipayung,sipayuG,Noun,
suka,sir,sir,Adjective,sir au mangan buah apel hun Surabaya aku suka makan buah apel yang berasal dari Surabaya
garam,sira,sira,Noun,
abu,sirabun,sirabun,Noun,
robek,sirak,sirak,Adjective,koyak: sirak bajukku haut bani andor-andor hayu bajuku robek terkait pada ranting kayu
gusi,sirakan,sirakan,Noun,
cerai,sirang,siraG,Verb,pisah; lerai; manirang v memisah; melerai; manirangkon v menceraikan; marsirang v bercerai; ber- pisah: au domma marsirang pakon binuatku saya sudah bercerai dengan istri saya; panirang n pemisah; parsirangan n perceraian; sirang-sirang v satu usaha agar suami istri saling membenci sehingga bercerai
matahari tepat tegak lurus di atas kepala,sirdok,sirdOk,Adverb,dopma sirdok mataniari sudah tegak lurus matahari
retak,sirgang,sirgaG,Adjective,manirganghon v meretakkan; masirgang v meretak
senyum,sirom,sirOm,Noun,sirom ia laho manjumpahi hasiholanni ia senyum menjumpai kekasih- nya
siap sedia,sirsir,sirsir,Adverb,tersedia: sipanganon domma sirsir i meja makanan sudah tersedia di meja
suara yang mengejutkan,sis,sis,Adjective,
sisa,sisa,sisa,Noun,
tegur,sisei,sisey,Verb,sisei do ia anggo pajumpah dia selalu menegur jika berjumpa
kelabang,sisibang,sisibaG,Noun,lipan
sisik,sisik,sisik,Noun,
suap,sisip,sisip,Verb,sogok: sadiha ibere ho duit sisip? berapa kau beri uang sogok?
cakar untuk mem- bersihkan sawah,sisir,sisir,Noun,olap lobei sisir hu pansa ambil dulu cakar ke pondok
sejenis tum- buhan bertali yang daunnya dibuat untuk bahan campuran memasak ikan atau udang,sisorlei,sisOrley,Noun,
babi hutan,sitabiar,sitabiar,Noun,
sibak rambut,sitabolan,sitabolan ,Verb,bentuk sisiran rambut: jempes ni sitabolanmin do sibakmu itu cantik sekali
nama sejenis bunga,sitalasari,sitalasari,Noun,
sejenis kayu yang batangnya mudah dibelah dan bagus untuk kayu api,sitarak,sitarak,Noun,
jari tengah,situalang,situwalaG,Noun,
"sejenis rumput yang daunnya dapat dibuat lalapan, rasanya agak pahit",situnjuk,situjjuk,Noun,
sangrai,soak,sowak,Verb,"gongseng: soak kopi ai, ase niduda! sangrai kopi itu biar ditumbuk!"
bosan,sobal,sobal,Adjective,sobal do anggo ai dassa torus bosan kita kalau begitu-begitu terus; sobalan v merasa bosan
kecuali,sobali,sobali,Particle,"ganup warna dong, sobali na birong semua warna ada kecuali yang hitam"
kayu api,soban,soban,Noun,"anggo i juma, buei do soban kalau di sawah, banyak kayu api; marsoban v mencari kayu bakar"
rapat,sobat,sobat,Adjective,hampir tidak berantara: sobat tumang suga i dalan ai duri di jalan itu rapat sekali
minum (tentang binatang),sobur,sobur,Verb,bere lobei sobur lombu ai! beri dulu minum lembu itu!
sebut,sobut,sobut,Verb,"sobut tumang goran tulangmon pasti domma itanda halak huta ai! sebut saja nama pamanmu, pasti telah dikenal orang kam- pung itu!"
sedang,sodang,sodaG,Adverb,sodang mardiha ho nabudari i jabu? sedang apa kau semalam di rumah?
enak,sodap,sodap,Adjective,kueh on sodap ipangan kue ini sedap dimakan
benci,sogam,sogam,Adjective,"halani godalni hasoman ai sogam uhurhu manonggorsi karena kawan itu jahat, aku benci melihatnya"
segan,sogan,sogan,Adjective,sogan do au manonggor pangulunta ai aku segan melihat kepala kam- pung kita itu
kasar,sogar,sogar,Adjective,jambulan ni si Risman sogar songon ijuk rambut si Risman kasar seperti ijuk
batas,sogih,sogih,Noun,i ja do sogih ni jumamu ai? di mana batas ladangmu itu?
 pagi,sogod,sogOd,Noun,
 besok,sogod,sogOd,Noun,sogodma ihorjahon besok saja dikerjakan
hinggap,sogop,sogOp,Verb,manuk- manuk sogop bani hayu burung-burung hinggap di pohon
henti,soh,sOh,Noun,berhenti; diam: ulangma nasiam soh anggo garama ope! jangan  kamu diam selagi muda!
waktu memulai membuat sawah,soha,soha,Adverb,ai dopma  soha handian? apa  kalian sudah mulai membuat sawah?
sokong,sohad,sohad,Noun,
genggaman tangan terhadap nasi,sohak,sohak,Noun,halak na loheian anggo mangan banggal-banggal do sohak ni orang yang lapar kalau makan sangat besar genggaman tangannya terhadap nasi
parau,sohal,sohal,Adjective,serak (tentang suara)
bau busuk,soham,soham,Noun,"soham mando indahan on, halani dokahni nasi ini sudah bau busuk lantaran lamanya"
pajak,sohei,sohEy,Noun,satiap taun au manggalar sohei setiap tahun saya membayar pajak; manohei v memajaki; marsohei v berpajak
nama sejenis tumbuh-tumbuhan yang bentuk batangnya seperti tali dan berduri,sohit,sohit,Noun,
membuka mulut anak-anak dengan paksa seperti hendak memberi obat,sohol,sohOl,Verb,sohol lobei babahni ase nibere tambar! bukakan dulu mulut- nya agar diberi obat!
nama sebuah sungai yang terdapat di sebuah desa di Simalungun,soirgaga,soirgaga,Noun,
akan,sol,sOl,Adverb,au sol misir hu Medan saya akan berangkat ke Medan
menutup muka dengan kain seperti orang mau hipnotis,solam,solam,Verb,
koyak lebar,solar,solar,Adjective,masema solar hiou min? mengapa kainmu itu koyak lebar?
terselip,solat,solat,Verb,buat lobei raotku na solat bani tayup ai
mau,solo,solo,Adverb,hendak: solo do nasiam mangan ambasang? maukah kalian makan bacang?
korek api,solok,solOk,Noun,buat solok ase hu nahiti palita on! ambil korek api agar kupasang lampu teplok ini!
rabun,solong,solOG,Adjective,
sandal,solop,solOp,Noun,solop na huning sandal yang kuning; marsolop v bersandal
sisip,solot,solOt,Verb,solotma tayub na tirisan ase anggo roh udan holi ase ulang mosap hubagas! sisipilah atap yang bocor itu agar kalau turun hujan nanti tidak basah di dalam
matang,solpah,sOlpah,Adjective,masak
perahu,solu,solu,Noun,solu na lopak on perahu yang putih ini; marsolu v berperahu: marsolu hun Parapat hu Ajibata ber- perahu dari Parapat ke Ajibata; parsolu n pemilik perahu
celup,solup,solup,Verb,
nama jenis bambu yang besar dan tinggi,soma,soma,Noun,buluh soma bambu soma
biasa,somal,somal,Adjective,lazim; hasomalon	n	kebiasaan: hasomalon		hanami	do marsiseian anggo pajumpah kebiasaan kami bertegur sapa kalau berjumpa
kawan,soman,soman,Noun,ise somanmu nokkan hu jon? siapa kawanmu tadi ke mari?
sembah,sombah,sObbah,Noun,isombah v disembah: sapari isombah halak do begu-begu dahulu kala berhala disembah orang
panggang dengan cara diletakkan langsung di atas bara api,sombah,sObbah,Verb,sombahhonma gadung in hubani nagara in ase podas tongka! masukkanlah ubi itu ke dalam bara api yang marak agar cepat masak!
sembam,sombam,sObbam,Verb,memanggang dengan cara di- letakkan di panggangan se- belum diletakkan di atas bara api
sedu,sombop,sObbOp,Adjective,si Beti dokahtu tangis sombop  dokah si Beti terlalu lama menangis tersedu-sedu
miskin,sombuh,sObbuh,Adjective,hasombuhon n kemiskinan; masombuh v menjadi miskin: anggo masombuh diri idoruni halak do kalau kita miskin di- lecehkan orang
mata air,sombul,sObbul,Noun,i suah an dong do sombul di lembah sana ada mata air
sempat,sompat,sOppat,Verb,"anggo sompat singgah be au holi kalau sempat, aku singgah; hasompatan	v	kesempatan; manompathon v menyempat- kan"
sempit,sompit,sOppit,Verb,manompiti	v	menjadikan sempit
tiba-tiba,sompong,sOppOG,Adverb,sompong do parujungni  goluhni ai tiba-tiba dia sampai di ujung hidupnya (meninggal)
tiup,sompul,sOppul,Verb,manompul	v	meniup:	ia manompul apui dia meniup api; parmahan ai manompul sulim anak	gembala	itu	meniup seruling
bagaimana,sonaha,sonaha,Pronoun,sonaha do manari tortor? bagaimana caranya menari tortor?
begitu,sonai,sonay,Pronoun,
senam,sonam,sonam,Noun,marsonam v bersenam; parsonam n pesenam
senang,sonang,sonaG,Adjective,sonari sonangma goluhni sekarang senanglah hidupnya
sekarang,sonari,sonari,Adverb,
kotoran gigi,sondahi,sOddahi,Noun,tahi gigi: anggo lang ongga igugus ipon bueima sondahi kalau tidak pernah gosok gigi pasti banyak tahi gigi
tempat paling atas sondia [sOddia] pron bagaimana sondihi   [sOddihi]   n   jeroan,sondi,sOddi,Noun,alat
masuk (ke dalam lubang),sondop,sOddOp,Verb,
sendok (nasi),sonduk,sOdduk,Noun,centong
bukan,song,sOG,Adverb,song ahu na mambuat tarompahmu ai bukan aku yang mengambil selopmu itu
bau pesing,songa,sOGa,Noun,
tanah rata di atas bukit,songgak,sOggak,Noun,
kejut,songgot,sOggOt,Verb,
sengit,songit,soGit,Adjective,turi-turian parporangan ni Sisingamanga- raja songit do hujaha i buku sejarah cerita peperangan Sisingamangaraja sengit sekali kubaca di buku sejarah
nama sejenis kayu yang batangnya lembek dan tidak bagus untuk bahan bangunan,songkak,sOkkak,Noun,
cengkih,songkeh,sOkkEh,Noun,
cekik,songkik,sokkik,Verb,"halani rangaptu	songkik	pala	ia mangan ruti ai karena rakus- nya, ia tercekik makan roti itu; manongkik v mencekik; panongkik n pencekik; tarsongkik v tercekik"
tutup,songom,soGOm,Verb,"ulang ribut,	hu	songom	holi pamanganmin! jangan ribut, kututup nanti mulutmu itu!; manongom v menutup; tarsongom v tertutup"
seperti,songon,soGOn,Adverb,"mirip: tonggor ge hiouni an, usih songon hiouhu! lihatlah kain- nya, persis seperti kainku!; songonin adv seperti ini; songonon adv seperti itu; songon-songon	adv	mirip- mirip"
gagang,songkir,sOkkir,Noun,patureima songkir sangkulhu na maseda in! perbaikilah gagang cangkulku yang rusak ini!
tersumbat,sonson,sOssOn,Verb,"patutma nongnong bah i jon, sonson hape parik ai patutlah tergenang air di sini, parit itu tersumbat rupanya"
berhenti,sonto,sOtto,Verb,
sepah,sopah,sopah,Noun,"bois namatobu sopahi ambungkon, bois sopah pe ipangan pb habis manis sepah dibuang, habis sepah ampas pun dimakan"
bosan,sopal,sopal,Adjective,"ulang ho i jon, sopal ahu manonggor bohimu! jangan kau di sini, bosan aku melihat mukamu! manopalhon v membosankan"
sunat,sopit,sopit,Verb,khitan; marsopit v berkhitan: dopma marsopit ho? sudah berkhitan kau?
gubuk kecil di ladang atau sawah,sopou,sopow,Noun,dangau; pondok: anggo roh udan manisio hu sopou kalau hujan turun berteduhlah ke gubuk
sepuh,sopuh,sopuh,Noun,
suara,sora,sora,Noun,sorani maling
limpah,soran,soran,Verb,melimpah: soran lalap bagod ni si Ali ai air nira si Ali melimpah terus
meresap,sorap,sorap,Verb,masuk: sorap bah niduruskon ai bani tanoh air yang ditumpahkan itu meresap ke dalam tanah; manoraphon v meresapkan
terdiri dari,sorba,sOrba,Verb,huta sorba dolog i kampung yang terdiri dari gunung
tidak beranjak,sorbob,sOrbOb,Verb,"anggo si Pirman sorbob i lobei ni inangni ai kalau si Pirman, tidak beranjak dari depan ibu- nya"
serdam,sordam,sOrdam,Noun,marsordam v bermain serdam: malo do ho marsordam pandai- nya kau memainkan serdam
berkurang,sordu,sOrdu,Verb,buahni durian nami domma sordu taun on humbani taun na salpu buah durian kami berkurang tahun  ini dibanding tahun yang lewat
urai,sorei,sorEy,Adjective,"terurai: jambulan ni anak boru ai, usih songon mayang na sorei ram- but anak gadis itu persis seperti mayang terurai"
kasar,sorgang,sOrgaG,Adjective,
seram,sorgi,sOrgi,Adjective,ngeri; merinding: sorgi ahu halani mardingat parmateini si anu ondi na mandolos i bona ni nangka ai aku merinding
sejenis alat penganyam benang,sorha,sOrha,Noun,patureihon hiou ipakei halak do sorha orang membuat kain menggunakan alat penganyam benang
perangkap,sorhop,sOrhOp,Noun,"buei sorhop hutaon, tapi sada pe lang dapotan letou banyak perangkap kupasang,  tetapi satu burung puyuh pun tidak dapat"
seri,sori,sori,Adjective,"imbang: sori, seng dong na talu seri, tidak ada yang kalah"
ayam yang berbulu bintik,soridi,soridi,Noun,dayokhu buei na soridi ayamku banyak yang berbulu bintik
"nama sejenis lumut, hidup di batu padas",sorigudam,sorigudam,Noun,
nama sejenis racun (binatang),sorlup,sOrlup,Noun,
cermin,sormin,sOrmin,Noun,"anggo manorikah bohi, itorih bani sormin kalau melihat wajah, lihatlah di cermin"
hiasan depan biasanya  dilukis ornamen,sorminan,sOrminan,Noun,
gemar,sormou,sOrmOw,Adjective,sormou do sidea mangkail i bah anak-anak na i suah ni huta on mereka gemar meman- cing di sungai kecil yang di lembah kampung ini
celup,sornob,sOrnOb,Verb,"isornobkon	v	dicelupkan: tanda na dop mambere sora, isornobkon do jari-jari hu tinta tanda sudah memberi suara (pada pemilu) dicelupkan jari ke tinta"
sengat (pada lebah atau tawon),sorod,sorOd,Noun,"anggo idoit ranggiting da tading do  sorodni kalau digigit tawon, sengatnya tertinggal"
pacul,sorok,sorOk,Noun,cangkul yang lebar: boan sorok ai hu juma! bawa pacul itu  ke ladang!
sirat,sorot,sOrOt,Noun,simpul tali yang membentuk mata jala; manorot v menyirat; merajut tali jala atau jaring ikan
ranum (buah),sorou,sorOw,Adjective,sorou mando buah ni rambutan ai buah rambutan itu ranum sekali
oles,sosah,sosah,Verb,isosahi v diolesi; manosah v mengoles
sesak,sosak,sosak,Adjective,
sesal,sosal,sosal,Noun,
tangguk (empat segi),sosap,sosap,Noun,
memisahkan  daging dari tulang-tulang,sosar,sosar,Verb,"domma isayat lombu ai, sosarma lobei ase hubuat inganan ni! lembu itu sudah dipotong, pisahkanlah daging- nya dari tulangnya agar ku- ambil tempatnya!"
celup,sosob,sosOb,Verb,manosobhon v mencelupkan; tarsosobhon v tercelupkan
cegukan,sosohotan,sosohotan,Verb,
nama sejenis kayu lembek dan buahnya yang matang berasa manis sehingga disukai anak-anak,sosopan,sosopan,Noun,
rapat,sosot,sosOt,Adjective,"padat; sempit: halani bahatni jolma, sosod use i kantur samat  karena banyaknya orang, sempit jadinya kantor camat"
putus,sotei,sotEy,Verb,
campur,sotek,sotEk,Adjective,aduk: sotek lobei dongkei na dob itaktaki in pakon bituhani! campur dulu daging yang  sudah dicincang itu dengan ususnya!
patuk,sotok,sotO?,Noun,
sayang,soya,soya,Adjective,"sia-sia: anggo marsikolah ringgasma nasiam marlajar, anggo lang, soyama		bois	ganup	artani niombah nasiam! kalau ber- sekolah rajinlah kamu belajar, kalau	tidak,	sayang		habis semua harta orang tuamu!; manoyahon v menyayangkan"
tidak,sua,suwa,Adverb,bukan
menolak ke pinggir agar bisa lewat,suag,suwag,Verb,husuag mando jolma na buei ai baru boi au mamontas orang ramai itu kutolaki ke pinggir baru aku bisa lewat
lembah,suah,suwah,Noun,
patah (dahan atau cabang),suak,suwak,Adjective,dopma suak tupangni durian ai cabang durian itu sudah patah
p maaf-maaf cakap,suali,suwali,,"suali hata, si Butet domma bunting maaf-maaf cakap, si Butet katanya sudah hamil"
tanam,suan,suwan,Verb,
suasa,suasah,suwasah,Noun,sadiha ituhor ho tintin suasah na ipakaimin? berapa kamu beli cincin suasa yang kamu pakai itu?
corak,suat,suwat,Noun,ai sonaha do suat ni hioumu ai? bagaimana corak kainmu itu?
nama sejenis rumput yang dapat digunakan untuk obat,suawa,suwawa,Noun,
coba,suba,suba,Verb,subama pikkiri sonaha janginni mardalan borngin i harangan toras!
kecuali,subali,subali,Particle,haganup roh subali si Erni semua datang kecuali si Erni
iri,subil,subil,Adjective,subil ia mangidah sinadonganku dia iri melihat kekayaanku
diterangkan,subut,subut,Verb,ditegaskan: dopma subut guru parlajaran ai pelajaran itu sudah diterangkan guru
tersinggung,suda,suda,Adjective,sakit hati: suda uhurhu halani hatani perasaanku tersinggung karena kata-katanya
membal,sudol,sudOl,Verb,sudol sangkulhu halani hona batu cangkulku membal karena kena batu
tembilang,suduk,suduk,Noun,alop lobei suduk i rumah!  ambil dulu tembilang di rumah!
julur,sudur,sudur,Verb,"menjulur (keluar): anggo i datas mobil ulang sudur ulu! kalau naik mobil, kepala jangan menjulur keluar!"
duri,suga,suga,Noun,suga ni ikan ai marot duri ikan itu tajam; marsuga v berduri
terhalang (disebabkan sesuatu  benda yang melintang),sugad,sugad,Verb,sugad au halani hayu na bartong ai jalanku terhalang karena kayu yang melintang itu
benci,sugar,sugar,Adjective,sugar uhurhu manonggor halak na butak hatiku benci melihat orang yang jahat
tutup pintu bubu agar ikan yang sudah masuk tidak dapat keluar lagi,sugarang,sugaraG,Noun,siapkon sugarang ni bubumu ai! siapkan pintu bubumu itu!
tersuruk,sugud,sugud,Verb,tersungkur: hutenju ia lanjar sugud kutinju dia sampai ter- sungkur
nama sejenis binatang,sugui,suguy,Noun,
